method,scenario,seed,num_scans,avg_assoc_runtime_ms,motp,ce
NN,D,0,83,9.516612,3.619066,0.000000
NN,D,1,83,10.527447,3.619066,0.000000
NN,D,2,83,9.421619,3.619066,0.000000
NN,D,3,83,9.411819,3.619066,0.000000
NN,D,4,83,9.443657,3.619066,0.000000
NN,D,5,83,9.653125,3.619066,0.000000
NN,D,6,83,10.214501,3.619066,0.000000
NN,D,7,83,9.297859,3.619066,0.000000
NN,D,8,83,9.104841,3.619066,0.000000
NN,D,9,83,9.756157,3.619066,0.000000
GNN,D,0,83,10.535293,3.528072,0.000000
GNN,D,1,83,10.157084,3.528072,0.000000
GNN,D,2,83,9.818643,3.528072,0.000000
GNN,D,3,83,10.230349,3.528072,0.000000
GNN,D,4,83,9.558771,3.528072,0.000000
GNN,D,5,83,10.886384,3.528072,0.000000
GNN,D,6,83,9.762231,3.528072,0.000000
GNN,D,7,83,10.185558,3.528072,0.000000
GNN,D,8,83,13.184159,3.528072,0.000000
GNN,D,9,83,10.102255,3.528072,0.000000
